,proporciones_mensuales
0,0.07890704041806233
1,0.07719378894646362
2,0.08457483422235576
3,0.08398897052844917
4,0.08782978997073503
5,0.08651645513455038
6,0.08843636000700848
7,0.08429877748812027
8,0.07950676716285492
9,0.08517230321950002
10,0.08280213968194478
11,0.08077277321995525
