FECHA,Cuenta_corriente_milesdeUSD,Mezcla_crudo_mexicano_USDxbarril,Deuda_publica _neta _en_USD,IPC,Tasa_interes_referencia,Estabilidad_politica,USDMXN
nov-06,-2713568.7,47.60098,169767928.00,82.97118189,7.3,-0.64,10.9827
dic-06,-2713568.7,49.76811,182502721.00,83.45113886,7.31,-0.64,10.8027
ene-07,-6100059.8,44.40443,182602516.00,83.88213471,7.37,-0.73,11.0025
feb-07,-6100059.8,48.35223,181974891.00,84.11659644,7.45,-0.73,11.1622
mar-07,-6100059.8,50.47337,180517711.00,84.29864909,7.46,-0.73,11.043
abr-07,-3680394,54.553,178791665.00,84.24830877,7.45,-0.73,10.9657
may-07,-3680394,56.18645,175274232.00,83.83731114,7.7,-0.73,10.7445
jun-07,-3680394,59.99722,178726820.00,83.93799177,7.7,-0.73,10.8078
jul-07,-1373122.9,64.53812,177619390.00,84.29451153,7.7,-0.73,10.99
ago-07,-1373122.9,63.03978,178622275.00,84.63792901,7.71,-0.73,11.0325
sep-07,-1373122.9,67.49147,178444048.00,85.29511147,7.71,-0.73,10.922
oct-07,-3355992.8,72.07651,175468282.00,85.62749547,7.69,-0.73,10.6532
nov-07,-3355992.8,79.83834,173281876.00,86.23157924,7.94,-0.73,10.907
dic-07,-3355992.8,79.57324,189764942.00,86.588099,7.94,-0.73,10.9087
ene-08,-5019691.9,80.15081,195312822.00,86.98944233,7.93,-0.80,10.8262
feb-08,-5019691.9,81.39845,196153211.00,87.24803983,7.91,-0.80,10.7115
mar-08,-5019691.9,89.35487,192838755.00,87.88039693,7.92,-0.80,10.636
abr-08,-3394338.6,94.90222,195253734.00,88.080379,7.94,-0.80,10.486
may-08,-3394338.6,104.184,196847758.00,87.98521512,7.93,-0.80,10.322
jun-08,-3394338.6,114.1517,200810703.00,88.34932041,7.91,-0.80,10.31
jul-08,-4950519,120.2521,207305193.00,88.84169006,8.17,-0.80,10.035
ago-08,-4950519,106.637,207220775.00,89.35474751,8.44,-0.80,10.285
sep-08,-4950519,85.57196,196076890.00,89.96365843,8.66,-0.80,10.92
oct-08,-7014074.5,60.27372,167812376.00,90.57670692,8.67,-0.80,12.827
nov-08,-7014074.5,42.39761,164336324.00,91.60626978,8.73,-0.80,13.4454
dic-08,-7014074.5,33.69531,191880980.00,92.24069566,8.72,-0.80,13.6662
ene-09,-2342901.7,37.95388,251256863.00,92.4544696,8.7,-0.70,14.342
feb-09,-2342901.7,38.23862,242973139.00,92.65858923,8.1,-0.70,15.2475
mar-09,-2342901.7,42.03209,253143266.00,93.19164489,7.92,-0.70,14.19
abr-09,-1051192.7,47.76514,253977479.00,93.51782254,7.12,-0.70,13.8388
may-09,-1051192.7,56.41958,269160774.00,93.24543317,6.21,-0.70,13.1325
jun-09,-1051192.7,64.35744,277179262.00,93.41714191,5.43,-0.70,13.187
jul-09,-4212882.6,60.95292,280500875.00,93.67160186,5.06,-0.70,13.174
ago-09,-4212882.6,67.21221,279240838.00,93.89571969,4.89,-0.70,13.3623
sep-09,-4212882.6,64.73435,276606345.00,94.36671195,4.88,-0.70,13.501
oct-09,-1107865.7,68.87206,284284439.00,94.6522036,4.93,-0.70,13.22
nov-09,-1107865.7,72.48038,291938473.00,95.14319406,4.93,-0.70,12.936
dic-09,-1107865.7,69.6649,290373610.00,95.53695186,4.94,-0.70,13.0636
ene-10,-266928.8,72.22469,294144633.00,96.57547944,4.92,-0.74,13.099
feb-10,-266928.8,70.24077,294065078.00,97.13405005,4.87,-0.74,12.7733
mar-10,-266928.8,72.14525,300563830.00,97.8236434,4.93,-0.74,12.3777
abr-10,88844.9,74.39044,304412088.00,97.5119472,4.9,-0.74,12.305
may-10,88844.9,67.80873,295972773.00,96.89751953,4.93,-0.74,12.93
jun-10,88844.9,67.41298,309182392.00,96.86717743,4.95,-0.74,12.9425
jul-10,-312399.8,68.51012,313740326.00,97.0775034,4.92,-0.74,12.6475
ago-10,-312399.8,69.81431,307728235.00,97.34713439,4.91,-0.74,13.1985
sep-10,-312399.8,70.26585,320074680.00,97.85743347,4.87,-0.74,12.6072
oct-10,-4775903.1,74.69204,323629256.00,98.46151724,4.89,-0.74,12.3469
nov-10,-4775903.1,77.46134,326864786.00,99.25041203,4.85,-0.74,12.4925
dic-10,-4775903.1,82.19365,341008703.00,99.74209209,4.9,-0.74,12.3575
ene-11,-3093279,85.94829,349013419.00,100.228,4.87,-0.68,12.1162
feb-11,-3093279,90.5399,348372970.00,100.604,4.85,-0.68,12.1067
mar-11,-3093279,102.3772,354980059.00,100.797,4.85,-0.68,11.9039
abr-11,-2861673.3,109.4744,363435582.00,100.789,4.83,-0.68,11.498
may-11,-2861673.3,104.4414,362783688.00,100.046,4.84,-0.68,11.5697
jun-11,-2861673.3,102.9938,368213346.00,100.041,4.87,-0.68,11.7106
jul-11,-5068426.3,104.8208,375897513.00,100.521,4.85,-0.68,11.7275
ago-11,-5068426.3,98.67111,364059627.00,100.68,4.8,-0.68,12.3374
sep-11,-5068426.3,100.0966,342276472.00,100.927,4.79,-0.68,13.9
oct-11,-2986848.2,101.1462,348622305.00,101.608,4.79,-0.68,13.3604
nov-11,-2986848.2,107.6186,336663776.00,102.707,4.8,-0.68,13.6438
dic-11,-2986848.2,106.3341,346539844.00,103.551,4.79,-0.68,13.9547
ene-12,-4045894,108.5428,370386554.00,104.284,4.8,-0.68,13.0446
feb-12,-4045894,110.233,375518724.00,104.496,4.79,-0.68,12.846
mar-12,-4045894,112.8196,380230969.00,104.556,4.78,-0.68,12.807
abr-12,-2057124.8,108.0438,372108312.00,104.228,4.77,-0.68,13.0155
may-12,-2057124.8,102.2369,358380447.00,103.899,4.75,-0.68,14.3716
jun-12,-2057124.8,91.39256,374330412.00,104.378,4.75,-0.68,13.3573
jul-12,-2543963.6,95.36508,384851513.00,104.964,4.77,-0.68,13.327
ago-12,-2543963.6,101.5323,384537372.00,105.279,4.78,-0.68,13.1924
sep-12,-2543963.6,102.1031,391053017.00,105.743,4.79,-0.68,12.8594
oct-12,-8375957.8,99.09564,388657109.00,106.278,4.8,-0.68,13.0994
nov-12,-8375957.8,95.38855,396740522.00,107,4.83,-0.68,12.9503
dic-12,-8375957.8,96.66818,411433798.00,107.246,4.84,-0.68,12.8657
ene-13,-8824245.3,100.6012,415767518.00,107.678,4.84,-0.73,12.7088
feb-13,-8824245.3,105.4255,412604678.00,108.208,4.84,-0.73,12.7791
mar-13,-8824245.3,102.9776,425749356.00,109.002,4.79,-0.73,12.316
abr-13,-7372426.3,99.11645,432063540.00,109.074,4.35,-0.73,12.134
may-13,-7372426.3,98.67312,417928208.00,108.711,4.32,-0.73,12.8089
jun-13,-7372426.3,97.85959,416606348.00,108.645,4.3,-0.73,12.946
jul-13,-5869474.4,100.9956,431197347.00,108.609,4.31,-0.73,12.7325
ago-13,-5869474.4,100.8436,418956892.00,108.918,4.32,-0.73,13.3803
sep-13,-5869474.4,99.7412,429795786.00,109.328,4.3,-0.73,13.0915
oct-13,-8907205.9,94.95259,435707722.00,109.848,4.02,-0.73,13.0198
nov-13,-8907205.9,89.54059,434925963.00,110.872,3.78,-0.73,13.1025
dic-13,-8907205.9,91.6512,454501384.00,111.508,3.79,-0.73,13.0365
ene-14,-8688326.5,90.64977,445469637.00,112.505,3.79,-0.85,13.3562
feb-14,-8688326.5,93.093,454380991.00,112.79,3.77,-0.85,13.245
mar-14,-8688326.5,93.48148,459226945.00,113.099,3.79,-0.85,13.0578
abr-14,-8669292.2,95.68283,457447693.00,112.888,3.81,-0.85,13.0792
may-14,-8669292.2,96.79415,469558192.00,112.527,3.79,-0.85,12.8587
jun-14,-8669292.2,98.7882,477970198.00,112.722,3.77,-0.85,12.9682
jul-14,-3200082.8,94.64703,483013820.00,113.032,3.3,-0.85,13.2177
ago-14,-3200082.8,90.80371,486816400.00,113.438,3.31,-0.85,13.0878
sep-14,-3200082.8,85.82202,479147312.00,113.939,3.28,-0.85,13.4277
oct-14,-5645223.4,75.23261,488210403.00,114.569,3.27,-0.85,13.4772
nov-14,-5645223.4,66.94425,484399316.00,115.493,3.28,-0.85,13.9367
dic-14,-5645223.4,50.98485,472037443.00,116.059,3.29,-0.85,14.749
ene-15,-9078020.5,41.69761,477713265.00,115.954,3.32,-0.87,14.989
feb-15,-9078020.5,47.25658,478726562.00,116.174,3.29,-0.87,14.9507
mar-15,-9078020.5,47.35817,469549395.00,116.647,3.29,-0.87,15.2618
abr-15,-8251404.5,50.69399,470518277.00,116.345,3.29,-0.87,15.3488
may-15,-8251404.5,54.06053,468734337.00,115.764,3.3,-0.87,15.3775
jun-15,-8251404.5,53.86867,481939710.00,115.958,3.3,-0.87,15.7389
jul-15,-8501124.2,46.5571,470721162.00,116.128,3.31,-0.87,16.1106
ago-15,-8501124.2,39.70557,459314497.00,116.373,3.31,-0.87,16.7522
sep-15,-8501124.2,37.93285,461702457.00,116.809,3.33,-0.87,16.9193
oct-15,-7516240.1,37.45756,476596713.00,117.41,3.32,-0.87,16.5
nov-15,-7516240.1,34.27745,475545382.00,118.051,3.3,-0.87,16.5745
dic-15,-7516240.1,27.6875,474273732.00,118.532,3.31,-0.87,17.18
ene-16,-8879682.8,23.91061,461211627.00,118.984,3.55,-0.90,18.11
feb-16,-8879682.8,24.47994,466658654.00,119.505,4.05,-0.90,18.135
mar-16,-8879682.8,29.44453,484010957.00,119.681,4.05,-0.90,17.2806
abr-16,-7972981.3,32.27916,470336378.00,119.302,4.06,-0.90,17.175
may-16,-7972981.3,37.26815,459306637.00,118.77,4.06,-0.90,18.4684
jun-16,-7972981.3,40.05207,461598907.00,118.901,4.1,-0.90,18.28
jul-16,-7642863.7,38.74628,464641863.00,119.211,4.11,-0.90,18.7525
ago-16,-7642863.7,38.40324,471393424.00,119.547,4.58,-0.90,18.7851
sep-16,-7642863.7,37.7581,467495225.00,120.277,4.59,-0.90,19.385
oct-16,-3362668,41.34854,475757538.00,121.007,5.1,-0.90,18.864
nov-16,-3362668,38.8795,452828825.00,121.953,5.75,-0.90,20.572
dic-16,-3362668,42.76237,467562123.00,122.515,5.75,-0.90,20.7275
ene-17,,45.37955,467111269.00,124.598,5.75,,20.834
feb-17,,44.71091,485477383.00,125.318,6.25,,20.1075
mar-17,,42.06695,,126.087,6.25,,18.725
abr-17,,,,,6.5,,18.82
may-17,,,,,6.5,,19.0015
