,Pais_comprador,Industria,Año,Mes,Monto
87,América Latina,Industrias Manufactureras,2007,Abril,133539402.0
88,América Latina,Industrias Manufactureras,2007,Mayo,148377338.0
89,América Latina,Industrias Manufactureras,2007,Junio,162471084.0
90,América Latina,Industrias Manufactureras,2007,Julio,154455917.0
91,América Latina,Industrias Manufactureras,2007,Agosto,181839168.0
92,América Latina,Industrias Manufactureras,2007,Septiembre,133652139.0
93,América Latina,Industrias Manufactureras,2007,Octubre,166274689.0
94,América Latina,Industrias Manufactureras,2007,Noviembre,160736936.0
95,América Latina,Industrias Manufactureras,2007,Diciembre,137059660.0
96,América Latina,Industrias Manufactureras,2008,Enero,167464230.0
97,América Latina,Industrias Manufactureras,2008,Febrero,207695896.0
98,América Latina,Industrias Manufactureras,2008,Marzo,207870594.0
99,América Latina,Industrias Manufactureras,2008,Abril,217538566.0
100,América Latina,Industrias Manufactureras,2008,Mayo,191462756.0
101,América Latina,Industrias Manufactureras,2008,Junio,202833430.0
102,América Latina,Industrias Manufactureras,2008,Julio,231499301.0
103,América Latina,Industrias Manufactureras,2008,Agosto,232780395.0
104,América Latina,Industrias Manufactureras,2008,Septiembre,245647861.0
105,América Latina,Industrias Manufactureras,2008,Octubre,172011366.0
106,América Latina,Industrias Manufactureras,2008,Noviembre,131928745.0
107,América Latina,Industrias Manufactureras,2008,Diciembre,184960263.0
108,América Latina,Industrias Manufactureras,2009,Enero,124822593.0
109,América Latina,Industrias Manufactureras,2009,Febrero,124418175.0
110,América Latina,Industrias Manufactureras,2009,Marzo,132671035.0
111,América Latina,Industrias Manufactureras,2009,Abril,111088736.0
112,América Latina,Industrias Manufactureras,2009,Mayo,99744032.0
113,América Latina,Industrias Manufactureras,2009,Junio,125857880.0
114,América Latina,Industrias Manufactureras,2009,Julio,139258221.0
115,América Latina,Industrias Manufactureras,2009,Agosto,146090593.0
116,América Latina,Industrias Manufactureras,2009,Septiembre,174830177.0
117,América Latina,Industrias Manufactureras,2009,Octubre,145582212.0
118,América Latina,Industrias Manufactureras,2009,Noviembre,192566444.0
119,América Latina,Industrias Manufactureras,2009,Diciembre,166053027.0
120,América Latina,Industrias Manufactureras,2010,Enero,170255151.0
121,América Latina,Industrias Manufactureras,2010,Febrero,174695474.0
122,América Latina,Industrias Manufactureras,2010,Marzo,225043181.0
123,América Latina,Industrias Manufactureras,2010,Abril,241169618.0
124,América Latina,Industrias Manufactureras,2010,Mayo,223357095.0
125,América Latina,Industrias Manufactureras,2010,Junio,271196663.0
126,América Latina,Industrias Manufactureras,2010,Julio,234424812.0
127,América Latina,Industrias Manufactureras,2010,Agosto,272901846.0
128,América Latina,Industrias Manufactureras,2010,Septiembre,214608175.0
129,América Latina,Industrias Manufactureras,2010,Octubre,202106408.0
130,América Latina,Industrias Manufactureras,2010,Noviembre,225568142.0
131,América Latina,Industrias Manufactureras,2010,Diciembre,245388127.0
132,América Latina,Industrias Manufactureras,2011,Enero,228496717.0
133,América Latina,Industrias Manufactureras,2011,Febrero,225636405.0
134,América Latina,Industrias Manufactureras,2011,Marzo,309213037.0
135,América Latina,Industrias Manufactureras,2011,Abril,283827608.0
136,América Latina,Industrias Manufactureras,2011,Mayo,297164452.0
137,América Latina,Industrias Manufactureras,2011,Junio,338378418.0
138,América Latina,Industrias Manufactureras,2011,Julio,301791994.0
139,América Latina,Industrias Manufactureras,2011,Agosto,395359448.0
140,América Latina,Industrias Manufactureras,2011,Septiembre,383704146.0
141,América Latina,Industrias Manufactureras,2011,Octubre,376411016.0
142,América Latina,Industrias Manufactureras,2011,Noviembre,420086063.0
143,América Latina,Industrias Manufactureras,2011,Diciembre,376344486.0
144,América Latina,Industrias Manufactureras,2012,Enero,336032284.0
145,América Latina,Industrias Manufactureras,2012,Febrero,368112786.0
146,América Latina,Industrias Manufactureras,2012,Marzo,460252952.0
147,América Latina,Industrias Manufactureras,2012,Abril,383335323.0
148,América Latina,Industrias Manufactureras,2012,Mayo,339097873.0
149,América Latina,Industrias Manufactureras,2012,Junio,429771838.0
150,América Latina,Industrias Manufactureras,2012,Julio,335500561.0
151,América Latina,Industrias Manufactureras,2012,Agosto,310678358.0
152,América Latina,Industrias Manufactureras,2012,Septiembre,275295065.0
153,América Latina,Industrias Manufactureras,2012,Octubre,268116843.0
154,América Latina,Industrias Manufactureras,2012,Noviembre,248413633.0
155,América Latina,Industrias Manufactureras,2012,Diciembre,243921261.0
156,América Latina,Industrias Manufactureras,2013,Enero,255420276.0
157,América Latina,Industrias Manufactureras,2013,Febrero,253651654.0
158,América Latina,Industrias Manufactureras,2013,Marzo,304945168.0
159,América Latina,Industrias Manufactureras,2013,Abril,293179040.0
160,América Latina,Industrias Manufactureras,2013,Mayo,311699718.0
161,América Latina,Industrias Manufactureras,2013,Junio,335990656.0
162,América Latina,Industrias Manufactureras,2013,Julio,387178812.0
163,América Latina,Industrias Manufactureras,2013,Agosto,364485425.0
164,América Latina,Industrias Manufactureras,2013,Septiembre,338156500.0
165,América Latina,Industrias Manufactureras,2013,Octubre,343821931.0
166,América Latina,Industrias Manufactureras,2013,Noviembre,301498197.0
167,América Latina,Industrias Manufactureras,2013,Diciembre,271279623.0
168,América Latina,Industrias Manufactureras,2014,Enero,228187784.0
169,América Latina,Industrias Manufactureras,2014,Febrero,219652814.0
170,América Latina,Industrias Manufactureras,2014,Marzo,274470508.0
171,América Latina,Industrias Manufactureras,2014,Abril,294149149.0
172,América Latina,Industrias Manufactureras,2014,Mayo,278547017.0
173,América Latina,Industrias Manufactureras,2014,Junio,298111292.0
174,América Latina,Industrias Manufactureras,2014,Julio,265101595.0
175,América Latina,Industrias Manufactureras,2014,Agosto,289723051.0
176,América Latina,Industrias Manufactureras,2014,Septiembre,282299189.0
177,América Latina,Industrias Manufactureras,2014,Octubre,310987664.0
178,América Latina,Industrias Manufactureras,2014,Noviembre,294818529.0
179,América Latina,Industrias Manufactureras,2014,Diciembre,247149170.0
180,América Latina,Industrias Manufactureras,2015,Enero,195019627.0
181,América Latina,Industrias Manufactureras,2015,Febrero,207683485.0
182,América Latina,Industrias Manufactureras,2015,Marzo,224172173.0
183,América Latina,Industrias Manufactureras,2015,Abril,225556880.0
184,América Latina,Industrias Manufactureras,2015,Mayo,221165395.0
185,América Latina,Industrias Manufactureras,2015,Junio,223520932.0
186,América Latina,Industrias Manufactureras,2015,Julio,263653987.0
187,América Latina,Industrias Manufactureras,2015,Agosto,219923200.0
188,América Latina,Industrias Manufactureras,2015,Septiembre,205014645.0
189,América Latina,Industrias Manufactureras,2015,Octubre,197189996.0
190,América Latina,Industrias Manufactureras,2015,Noviembre,172334311.0
191,América Latina,Industrias Manufactureras,2015,Diciembre,195252447.0
192,América Latina,Industrias Manufactureras,2016,Enero,150011545.0
