Pais_vendedor,secciones,2000/Enero,2000/Febrero,2000/Marzo,2000/Abril,2000/Mayo,2000/Junio,2000/Julio,2000/Agosto,2000/Septiembre,2000/Octubre,2000/Noviembre,2000/Diciembre,2001/Enero,2001/Febrero,2001/Marzo,2001/Abril,2001/Mayo,2001/Junio,2001/Julio,2001/Agosto,2001/Septiembre,2001/Octubre,2001/Noviembre,2001/Diciembre,2002/Enero,2002/Febrero,2002/Marzo,2002/Abril,2002/Mayo,2002/Junio,2002/Julio,2002/Agosto,2002/Septiembre,2002/Octubre,2002/Noviembre,2002/Diciembre,2003/Enero,2003/Febrero,2003/Marzo,2003/Abril,2003/Mayo,2003/Junio,2003/Julio,2003/Agosto,2003/Septiembre,2003/Octubre,2003/Noviembre,2003/Diciembre,2004/Enero,2004/Febrero,2004/Marzo,2004/Abril,2004/Mayo,2004/Junio,2004/Julio,2004/Agosto,2004/Septiembre,2004/Octubre,2004/Noviembre,2004/Diciembre,2005/Enero,2005/Febrero,2005/Marzo,2005/Abril,2005/Mayo,2005/Junio,2005/Julio,2005/Agosto,2005/Septiembre,2005/Octubre,2005/Noviembre,2005/Diciembre,2006/Enero,2006/Febrero,2006/Marzo,2006/Abril,2006/Mayo,2006/Junio,2006/Julio,2006/Agosto,2006/Septiembre,2006/Octubre,2006/Noviembre,2006/Diciembre,2007/Enero,2007/Febrero,2007/Marzo,2007/Abril,2007/Mayo,2007/Junio,2007/Julio,2007/Agosto,2007/Septiembre,2007/Octubre,2007/Noviembre,2007/Diciembre,2008/Enero,2008/Febrero,2008/Marzo,2008/Abril,2008/Mayo,2008/Junio,2008/Julio,2008/Agosto,2008/Septiembre,2008/Octubre,2008/Noviembre,2008/Diciembre,2009/Enero,2009/Febrero,2009/Marzo,2009/Abril,2009/Mayo,2009/Junio,2009/Julio,2009/Agosto,2009/Septiembre,2009/Octubre,2009/Noviembre,2009/Diciembre,2010/Enero,2010/Febrero,2010/Marzo,2010/Abril,2010/Mayo,2010/Junio,2010/Julio,2010/Agosto,2010/Septiembre,2010/Octubre,2010/Noviembre,2010/Diciembre,2011/Enero,2011/Febrero,2011/Marzo,2011/Abril,2011/Mayo,2011/Junio,2011/Julio,2011/Agosto,2011/Septiembre,2011/Octubre,2011/Noviembre,2011/Diciembre,2012/Enero,2012/Febrero,2012/Marzo,2012/Abril,2012/Mayo,2012/Junio,2012/Julio,2012/Agosto,2012/Septiembre,2012/Octubre,2012/Noviembre,2012/Diciembre,2013/Enero,2013/Febrero,2013/Marzo,2013/Abril,2013/Mayo,2013/Junio,2013/Julio,2013/Agosto,2013/Septiembre,2013/Octubre,2013/Noviembre,2013/Diciembre,2014/Enero,2014/Febrero,2014/Marzo,2014/Abril,2014/Mayo,2014/Junio,2014/Julio,2014/Agosto,2014/Septiembre,2014/Octubre,2014/Noviembre,2014/Diciembre,2015/Enero,2015/Febrero,2015/Marzo,2015/Abril,2015/Mayo,2015/Junio,2015/Julio,2015/Agosto,2015/Septiembre,2015/Octubre,2015/Noviembre,2015/Diciembre,2016/Enero,2016/Febrero,2016/Marzo,2016/Abril,2016/Mayo,2016/Junio,2016/Julio,2016/Agosto,2016/Septiembre,2016/Octubre,2016/Noviembre,2016/Diciembre,2017/Enero,2017/Febrero,2017/Marzo,2017/Abril,2017/Mayo,2017/Junio,2017/Julio,Fecha
Asia,"SECCION IX Madera, Carbón Vegetal y Manufacturas de Madera; Corcho y sus Manufacturas; Manufacturas de Espartería o Cestería.",207,986,18344,37641,20966,17920,20695,49802,104305,67856,173360,229111,24883,19278,12489,21974,8689,24399,64597,36981,15120,17140,237800,27131,1424225,211102,472307,1582776,839442,1184438,591132,1142054,605206,238670,35410,110080,90993,9840,162088,105286,208038,33577,175457,321282,67056,203687,33128,229106,281,19999,181922,1360,130748,745659,4801,8580,789,816632,13472,220019,561749,66056,73834,295317,112367,221060,802399,442833,255700,251422,416479,258436,133916,360764,154345,127804,204109,139401,388197,301760,372376,160317,657370,293201,538846,520192,1398112,932716,455122,627490,505058,1073346,685777,373854,1159837,978075,1132999,681132,760374,857343,1108088,711023,585660,835474,841453,1244536,830467,650644,420217,512949,327015,617153,657921,488874,657078,498624,817873,1328711,733534,1564873,750958,1214520,1037153,766388,1495880,1434732,1388725,1597133,1148843,1163795,1477784,940021,1163261,1767521,666965,1533514,2718790,2267952,2183542,1908754,1985918,1035106,2274276,2197684,2021533,1357949,1707043,1984827,3105091,1689013,1788403,1252004,1121592,1268397,1593054,1018025,1861261,2095166,1048246,1502477,2207202,1747705,1866887,1585886,1225981,1945932,1697434,1032022,324020,256167,208587,389861,184580,190765,435992,313233,554559,296960,303214,191117,544703,312713,326739,402660,373709,445693,275137,360511,267971,601454,577925,320537,353848,387949,424447,508618,508100,271210,296236,350332,549424,411116,425846,357489,405383,458563,198701,326432,689465,506469,347071,140713757
Asia,SECCION V Productos Minerales.,142,324,74387,516,146,71889,47305,126449,1159,123,53500,40,1086,5948,13,310,249,2965,2658,8,145,727,299,3334,5526424,5113878,777378,4818643,1308406,5319591,9037557,11047361,14785131,223259,3755,121,3300,60136,70,3300,16073,179807,156132,193514,163097,14114,181351,178772,6400,628039,131,2085022,394,606026,73978,320886,42570,3040,11786,7,65911,3888,345,282687,3700,161628,647,23185,1452,58601,6060,N/D,358443,197095,N/D,23012,57269,58494,26187,19833,167116,210994,193610,265142,1340,153438,60776,57830,7162,149143,169642,16927,32401,5713,125914,102153,1981,26570,1042440,1212183,1012073,19940,28294,69811,58445,259598,63535,17238102,1207677,18719553,11404534,7792020,11553070,32169639,22433676,11166455,134366,41779,64373,488185,53767215,56872,11447691,2579850,11335374,462319,4925,79722,3664,547727,44800,116407,11026,61343,19862,252562,306321,112906,218122,143525,140511,6040,174153,112060,118516,301225,66533,320557,299048,581217,72632,742170,132485,1236193,1634711,13989441,884938,1622025,245533,1435727,233048,10893564,12960404,188971,12631567,13373229,340778,199671,85907,583258,1847384,110964,134068,127894,562321,205948,672537,103291,227206,1607088,216187,1617909,1425594,405988,2270543,673843,112916,2446420,1311750,844383,829502,1317623,672091,135818,140872,166471,87629,4238836,2308835,2647800,132383,442748,692596,2628032,3681626,439329,228950,377284,305173,306989,122626,400564989
Asia,SECCION VI Productos de las Industrias Químicas o de las Industrias Conexas.,3264201,1552384,3674973,2783681,5118516,8589052,1200696,3392966,7390694,1133447,1906537,4027472,2842182,4565272,2748707,5450878,2428681,7727205,1658463,6275795,2487892,8592179,5266350,1434350,9826489,7355600,4082516,5691610,10622459,13535299,9503245,7412649,4173999,4968178,5043527,4828779,2491258,1640549,6875744,1697582,7844901,2955441,5685531,5908370,2449312,2269451,4113664,4808737,3467267,2533333,6066225,3251872,3441642,7909815,6786395,4653851,6913734,4696455,10323254,6974087,9206284,11233151,5988270,8511468,15058769,35980528,40579471,25909765,24246123,22781211,21486318,24985446,10305539,10111318,8606244,7769835,19765523,16509422,15245729,7665405,14215513,6604295,12514695,7358531,16647179,11741470,16925105,14382680,14486368,10721261,18661936,16251257,10082366,19416935,19645730,8553679,16309248,18977986,28213395,20458127,41085098,36069644,21242158,27804166,16939182,18845220,18477388,15442631,13114837,14889040,15202462,14828186,10872750,28509162,18378782,13701912,21258853,15644704,20171050,17870925,22511824,20327693,29294259,22267639,30568749,23277681,32255382,25796416,29974848,37419915,28297179,29290709,21982638,26614052,28685394,32602915,29808615,33908388,43095285,32840544,30808751,36258511,44660046,38677564,34819127,31238867,33600484,34595866,40195551,58655045,54413371,49682110,30625165,36188165,30400851,40980087,39337390,28455317,30105725,38907479,44119397,31353916,60776512,40665934,28424766,35039581,36142181,35206684,37457354,48510742,34939853,38246463,39586636,43007112,34099135,34048452,43809452,47178299,31569125,32866053,46147461,34068640,50858450,46148860,49609980,41967412,55454814,48568591,48168296,35994356,40543241,38174033,30899956,45512928,40096504,54071165,49383865,50255816,47245261,41506366,41323354,36232532,38649019,39644549,47434570,43082295,62108410,52629414,63865005,62665309,53258978,4898819338
Asia,SECCION VII Plástico y sus Manufacturas; Caucho y sus Manufacturas.,2947094,2803055,2965556,4709248,4234625,6519348,6328292,6842005,5320233,5546639,7010450,8957838,8579821,6262116,4792943,5199414,5047813,4650621,5282087,5266293,4617349,6595848,6401134,5406853,7360844,5736787,6240508,7517690,6879236,6897284,7255547,9895642,7894210,6571217,7326203,7715675,5874979,5288472,6261087,5381986,6245632,5886769,6765899,4851433,5852696,5717756,3864854,5870204,3586250,4127593,5635598,3624662,4319452,5028063,4466523,6145442,4934855,5250356,6332310,6155235,5552630,6691904,6118143,7817786,6881225,5795310,5962673,9670078,9796923,10800672,12270902,10231883,8976796,7476760,9553470,8391451,8817531,13039655,7682708,8737598,7045672,7970202,7460885,6185334,12108196,9426953,11311560,10178459,10560179,12596210,12076328,10983513,9910968,10943130,12062831,9333133,12202985,11646903,11093377,11672269,13641066,12882936,13155462,12041916,15119614,12665639,12990399,9079500,11961702,8363190,8420716,8999288,10709701,12127385,10402466,10205392,15978676,15823412,16202443,15202394,14803596,13980331,17277364,20273399,16614031,18251475,22881829,18303335,21947260,22013278,19179357,19941249,22066429,19664794,22339782,21560474,26670973,26142429,31531769,24417659,30864962,25032787,25609524,25927320,26041206,21724874,21134406,22972326,24162258,26365438,31804135,30766720,24124195,23839187,26333152,20503444,25751028,21353431,17667869,26471008,26682957,24926416,30711566,30481144,24354215,26274329,22216594,26026401,24302331,20853210,21215382,22467297,26389869,22296762,27110767,25781535,25384108,23029709,20924188,20922243,23317367,24827274,26299174,29505128,29014084,28571464,28464659,30267088,29964674,25436819,24082123,19919109,24389710,27273877,28124639,31586417,30455820,32109083,30404778,33467880,26525087,27034553,25101317,28507631,28382883,28519803,30076100,27515853,30316926,31235160,30076481,3251487229
Asia,"SECCION VIII Pieles, Cueros, Peletería y Manufacturas de estas Materias; Artículos de Talabartería o Guarnicionería; Artículos de Viaje, bolsos de Mano y Continentes Similares; Manufacturas de Tripa.",312791,251887,208339,361176,706032,958155,751699,337245,642722,964497,1847893,476325,1640339,577471,453271,430709,1186049,1410655,1505350,1653661,1242327,1230347,1216877,1620400,2255738,1820774,1155737,2042452,1351875,1465869,3975346,1834703,2596832,1693558,1457274,532598,1160914,961668,759920,1563970,888599,1247436,1580012,1330845,854918,1680005,1122943,1574547,540511,1016318,950885,410091,735491,455430,920318,452257,789696,843008,933333,1097763,1099315,1888934,1201372,1065490,2073367,1517497,2069558,1880245,1878770,1785504,1050474,1020323,1307844,1383686,1196181,839881,1769893,1255868,1756041,1295418,1215978,2453878,659602,928566,1885148,930394,1412692,1706038,2222573,2200491,2070227,1650422,2279709,1724219,1555907,1193486,2368156,1272210,1198526,2076767,1309794,2863512,2148342,1948359,3084334,1566758,876989,1739347,2369119,2589136,1545232,1275330,1303907,3267597,1310449,544565,2629913,1376432,1400563,2105361,1778058,5429151,5366351,2839907,3477343,4426963,4072033,4505867,3154802,3974423,2722880,3289472,2473051,2823139,3270658,3307437,5017795,5831287,5465571,4142253,4218385,3540108,3846308,4514354,5036237,3848637,3522586,4089308,4800457,7102524,6038314,3512397,3007151,5438656,2702039,4747542,6273996,3863897,4385865,4012420,6352642,5410818,6654986,5535998,4139038,3956673,3210203,4688276,3368112,3382446,3045613,2985777,3842480,6711432,3037159,2700273,4759154,4395505,3363989,3515870,4019930,3651159,3242246,2446168,3701170,6144119,3230035,2933719,2949585,4472764,3037564,2813904,2111378,3886388,4248606,5221956,5125710,9267283,5181202,4336050,2669735,2855065,3760901,2825672,4299806,7840550,5495748,4751331,5292705,8489865,6154459,555018301
Asia,SECCION X Pasta de Madera o de las demás Materias Fibrosas Celulosicas; Papel o Cartón para Reciclar; Papel o Cartón y sus Aplicaciones.,161453,147090,246153,351467,134927,400202,309989,377178,329329,323608,504720,186140,484472,241193,417048,246247,315669,409921,309628,530993,235283,410701,311579,289982,380807,457222,601514,632280,965731,926323,949857,1453995,899705,507422,542933,365808,377884,266873,138402,260436,470677,369296,650730,215094,319168,311897,265167,1002946,248191,158873,409101,233675,278349,278842,66445,167909,120313,206898,326180,205390,329657,283072,319309,396443,856339,286037,152136,2238369,4287098,550233,315714,1002248,235454,139147,170626,377735,170121,131817,185224,152363,200989,167655,304734,272127,384068,377709,556749,1161350,774662,488524,755276,583039,627786,839915,590755,383973,684635,421203,336628,1446019,2344737,579514,517200,717807,583184,709934,412830,3483438,573660,377888,383620,462328,537363,908218,537688,375367,900692,1687805,801582,780043,571059,2476261,3217697,1625434,1497495,3865642,1560969,661081,886110,860683,930965,777924,895027,1056428,739490,1306404,2354282,3363733,3157645,2038450,1546678,1256059,1068538,947489,895568,771845,2470864,769520,1405282,1471763,1624632,1607615,1053923,1126104,1066557,1160595,891936,1038588,1160026,1285816,4680172,1930688,2677318,3530424,2546663,3872787,3418609,3810402,5576398,2050271,5565101,5336696,9088929,7583544,6788896,5532956,7485458,4842093,6220048,5062493,4939369,3633789,4712716,6622293,7147633,6737382,6797959,5634467,4895474,5629694,3541825,4362426,3262664,7203459,8525367,7297206,5429557,6270669,6324669,5702987,7275912,8192098,10238772,3501838,6082264,5502914,7698649,4933221,8301905,6854495,4853733,409488313
Asia,SECCION XI Materias Textiles y sus Manufacturas.,938229,1270317,1250819,2958477,2798109,2171493,5069324,5891055,7015437,5118936,4393002,5063755,4255847,3494332,2866083,3543224,3308977,3077049,4975904,6580499,5563210,4570464,2849396,3800173,5659028,6542203,5618187,3853194,2991761,3715856,11404309,10585286,14968882,5791435,5188343,5198648,3627521,5545334,3045908,2209219,3544459,2987411,3938706,6482401,7443257,6644707,3224856,3740094,1286410,1775057,1885548,1116815,1258813,1476729,1608996,2936871,2775139,1549593,2486437,1908640,3825465,4049102,2941448,2241255,2428121,2761966,3541285,8489469,5798082,4822438,4822721,4679659,4406373,4859577,5104921,2362926,4729192,6248787,3460175,5840246,6149648,5619684,3244519,3444983,6841210,5872594,6708743,5104901,5582228,6590539,6685609,10617872,8555566,9492374,7985472,6796799,7524654,9003349,6911530,6182005,5071503,8243312,10512239,10792000,11766015,9926099,6346886,8612582,7412809,8356922,6962897,4939560,4873609,10265200,10072728,8735464,16644572,11093993,12181835,12386370,10202247,11894948,16383296,9892222,9135194,14297735,17970220,18631025,17730683,13134659,13302840,13087404,17233785,16411781,12025167,11284311,19688204,24559937,26447426,29799412,25423230,19926045,23283380,20937699,23949130,23684391,15589207,14154944,21506557,25272446,25662581,26942823,29387785,19679920,19823873,21500535,20779926,17555749,17640862,16376487,19777856,30794455,23936807,23835106,26889881,23904238,15709469,22616134,15388956,13574087,13497245,13821822,15583624,17057989,20287719,18606523,23710861,17634826,14390943,17606931,16835405,14261192,13230524,12637902,15159139,18641356,20091718,23283890,24551440,21976990,18378268,18144613,16916950,17667082,17422859,14909593,15227246,21493291,18746486,23308507,24655336,23774898,21335729,19178853,19318664,16257965,16318791,15822122,18320583,21353010,24922043,2381321733
Asia,"SECCION XII Calzado, Sombreros y demás Tocados, Paraguas, Quitasoles, Bastones, Látigos, Fustas y sus Partes; Plumas Preparados y Artículos de Plumas; Flores Artificiales; Manufacturas de Cabello.",2391448,2886789,2432004,1631343,3224946,3912053,3722864,4071301,5385398,4291576,4964492,2585530,3008547,3224238,4142117,3260556,2949936,4500129,6311778,5327459,4441416,7253413,5589209,3363904,5084024,5981173,4810372,4892031,5542131,5392516,6570120,8538363,7459342,6496461,6368436,4041492,4500882,7820353,5112585,3242568,5454277,5557252,4149886,3911937,8145169,6668225,4780872,4277415,166849,197535,97518,199008,189469,98669,65288,174388,103354,150174,142830,26235,1588515,2426442,1925207,1448477,1467192,1962659,2068892,2582566,2068563,2633621,3981522,2188463,1512519,2954398,3103251,2467356,3820868,3570968,1793412,2774460,2790860,4432118,4093624,2832115,3237647,3198067,4395748,2638581,2871845,5471680,3009675,4568860,4403695,3319001,3235269,4767994,4065151,5933677,2808160,5749005,3676231,6328703,5674758,7259799,10608489,5639869,4046786,7165797,8571206,5774909,6127092,3264520,4932203,6603263,5718539,9483826,9120069,6110825,6257307,5843573,8013939,4866670,7308438,6166517,10153731,7829070,8823060,10273479,9795741,12575225,8444901,8931702,10440950,6254347,8178186,11541482,12469477,12337611,9147879,14545902,14885074,13125983,11375761,10119363,17182341,11740628,12877173,14241708,12032975,12429826,15329817,21136830,17169750,13641033,13528462,20912437,7872406,15160179,10765771,10336445,13581498,16116600,19021727,15188889,15998658,15620609,12086227,14527750,17057533,10957021,11484933,7915398,13157050,13383467,10523364,10463769,20907237,6102628,9127189,11489408,8312639,4313729,11878733,10836019,10424197,7645679,9518495,8546151,10542204,9848123,6313778,10886427,9471188,7596624,12959179,5455777,6808972,12051751,10203246,8692988,16280238,12012113,5422288,15661688,14036187,8677341,13594866,9350740,5547738,16432606,11462261,1525108564
Asia,"SECCION XIII Manufacturas de Piedra, Yeso Fraguable, Cemento, Amianto,Mica o Materias Análogas; Productos Cerámicos, Vidrio y Manufacturas de Vidrio.",138159,97475,82029,222157,345196,431024,262150,134801,287668,759240,372310,238225,374167,292397,315166,201265,199763,503537,304633,287773,198691,584804,273511,479957,539635,153927,202418,402217,537551,284067,530497,671991,2468715,575405,2295292,594297,223846,152060,178169,218042,460903,64677,177520,332586,418165,910862,310102,202320,165527,40610,188467,425468,175770,208749,191261,246053,312031,501475,545057,304950,604165,563227,504988,955714,604706,955617,756850,455107,728221,898335,569126,879649,637018,610261,868713,570495,844948,1206860,795070,724589,910811,798307,1491935,1109954,1951230,1329653,1883893,1230132,1767133,1489009,1578262,1763280,1798694,1919298,2453182,2314754,3027126,2761599,2006331,2396188,1624446,1784691,2657583,3074794,2676003,2139214,1689761,1497889,1595982,1368235,992582,1215467,1314230,1489181,1243821,1455680,1564479,2181711,2079061,2158979,1602067,3153111,3050725,1923638,2394022,2424563,2219607,2754775,2979649,3016848,2713203,2259843,2907813,2726017,3276850,4034758,3014333,3840066,3893003,3711104,4377183,3209344,3201289,3095686,3689883,5370050,4292667,3164633,4514210,3916013,3429806,3802503,3704516,3636078,3390883,5447989,3879600,3795238,2839122,4268292,4043718,3731459,4107397,4715996,3600347,4318366,3241471,3704966,3128369,2584008,3093744,2536824,3707847,3528923,3398555,2464620,3210913,3699789,3402937,3132265,3701418,4325312,2919757,3244236,3796959,4349984,4427195,5422548,3723951,3317090,4910464,4421106,4363513,4079729,3342666,3580293,3941229,3476854,3422423,4490137,3914890,3110340,3689053,3347389,4284994,2981360,3722020,3620034,4181415,4428882,3623355,434548878
Asia,"SECCION XIV Perlas Naturales o Cultivadas, Piedras Preciosas o Semipreciosas, Metales Preciosos y Manufacturas de estas Materias; Bisutería; Monedas.",153432,17753,123968,186139,129767,199871,211076,283507,378617,150202,23095,143638,16760,17770,61424,65408,25144,158143,162015,181948,186307,97285,132574,20735,347557,232760,181960,230356,97780,92458,765096,697407,254198,56882,32601,18397,7409,28668,135161,36299,18146,56681,33997,12979,3229,2292,7689,25577,8410,20390,120164,43612,20060,80444,26167,47935,26940,87973,68188,84066,147012,125660,53201,155106,250695,224517,203315,200213,224060,369821,665041,867084,734981,704449,1336409,675621,456791,664604,938484,743742,741567,774049,596794,814401,1081540,393162,1213535,922292,893681,757334,1178328,1280230,467557,1573173,1507062,720859,1554087,2185270,1643160,1719444,1419478,3240561,2881369,3159112,1931270,2237095,1878647,980731,316370,60367,587992,1463501,1613829,2955878,2239253,2529671,2234249,2796431,3772834,2389561,4171771,1697774,2282798,3916719,3262558,2833869,3192668,3825192,3592014,4070978,3866863,1358061,2823232,1661719,1849705,3695469,2928508,3281955,2767495,3512432,2236456,2711312,2240259,1592162,2670079,2497846,3530060,2353327,1328306,965204,3171532,2349490,1980549,3737593,3034459,1425537,2234057,1784965,2134767,2860753,2434037,1744386,2318774,2182961,2627321,2368664,2679678,1564615,813513,934302,815445,1994804,1750985,858471,1359296,1634616,1677338,1123410,1756022,1189347,1297496,612797,579803,1394354,1090221,1584590,1577457,1813217,1550319,1578964,1012157,1188267,698020,1062410,1083870,1009174,1187454,1586140,2281997,1829894,1898980,1612341,1738779,1584099,1494280,989631,1408336,1082557,1767884,1569849,2323971,264330661
Asia,"SECCION XIX Armas y Municiones, y sus partes y Accesorios.",N/D,N/D,N/D,N/D,N/D,N/D,N/D,602000,373612,N/D,N/D,N/D,N/D,N/D,1600,24609,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,42,N/D,N/D,N/D,N/D,3320,N/D,500,N/D,N/D,586550,N/D,N/D,N/D,N/D,7890,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,744,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,180,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,16402,2205,N/D,1200,9054,600,10757,10682,2660,300,8749,42363,8802,N/D,N/D,3705,N/D,2400,7200,8419,N/D,N/D,3909,N/D,N/D,N/D,N/D,N/D,N/D,N/D,480,N/D,N/D,180,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,898900,2370728,766,62507,953917,513300,2,6541234
Asia,SECCION XV Metales Comúnes y Manufacturas de estos Metales.,4806820,1579679,3371874,5520178,9073954,2857128,7518047,4248693,2736890,5634236,3346952,5400535,9234054,11001066,10473749,8764911,16041057,9023051,7867317,7863009,5556019,10636480,9635743,13238982,13859430,8043921,12618486,9801556,14017850,20665684,14694355,15118464,18273445,8197507,10372619,13855694,6805177,6323048,11001668,9818325,12041319,6727529,10274262,5339685,7037353,8611833,9894945,9409540,9202130,10756916,8978901,10571456,7729967,12019171,10419280,17451944,11507534,15637387,19208107,22128570,12322112,11682665,12071865,14666513,10534752,10805261,11866375,11037678,9699970,10666957,8964881,10922713,13145412,9452702,10467254,8490134,14601716,11122996,11102667,15691151,14643508,15247936,13004869,13944525,18034791,19108759,14779227,13704194,14201508,20270806,18239702,21161862,21375223,19684616,23281333,14234601,24537143,20781750,18363751,22204724,23089648,20217516,21745301,24381701,21141698,20474081,21214256,19993295,16938947,16426456,18818706,18274936,13420709,19872927,15464105,12163533,16146612,15490728,17229132,22333752,17535413,17788413,23164463,21917170,18994086,27143353,25488162,28343773,23672615,26098295,23681579,23872778,26101701,24237231,26572989,24848728,33586766,24237688,30318343,30065452,31495944,24650769,30639989,23943850,32130463,24258854,25261995,32929056,32463955,33195435,30694526,35652835,31409064,31215746,30083991,25510348,32944763,30805353,21164103,26697302,32646007,27181388,30438527,30165714,27101857,33360811,31794308,32756971,26024578,28524563,27446031,27773374,42840707,37283499,45857218,38237066,43545911,47431415,40266374,28658017,40919974,31901291,26008108,28321610,30154584,36032745,31035733,30467138,30838498,39769763,38981384,30774548,30715200,32962678,36205406,36916402,28295964,32865989,34508244,42165619,32667083,37122944,45995631,55425866,59207181,54353249,41887590,37383977,41492118,46099096,52331401,4496761469
Asia,"SECCION XVI Máquinas y Aparatos, Material Eléctrico y sus Partes; Aparatos de Grabación o Reproducción de Sonido, Aparatos de Grabación o Reproducción de Imagen y Sonido en Televisión y las Partes y Accesorios de estos Aparatos.",92721397,57854435,85300152,90110936,98093127,99591854,99083877,121457966,105435120,96718161,96520784,216169730,144745103,136837323,137460731,128458474,126200575,170365534,182767451,181909003,219856766,193037268,202193109,253739524,399845690,410012967,452300770,456603300,564580177,485440005,540532455,453513538,395417438,118047438,107264233,130259943,67679563,81031356,107191865,119379832,131568946,148589601,152503605,116380123,132949760,126218953,126023835,158873849,154625308,166175275,213063388,210388595,202903519,221192236,224456155,237691135,240624631,245386448,304595755,235126466,234071600,227958466,236917681,258733533,244202112,236866988,216924916,312757569,308635991,271121001,316494965,361648400,277343189,247426472,328682208,262643844,319412993,347352465,317521181,339455900,384388833,413304061,394158096,340709805,392694164,359230754,398697177,396761142,387247073,413816954,452141308,395176697,364737004,363441167,388023768,434664073,362384818,354649135,356471092,448290658,419267304,401156941,431774665,347292088,411082821,304706182,354312571,354191191,219560413,200208005,264562870,238960666,266322502,364115387,315943291,357121971,420802571,411268272,481738116,548684691,319058830,379241773,435015958,356413407,415076689,447420284,368467205,433821281,455328079,372011004,440007921,407396322,355399459,391088683,381730970,314023302,406587956,439150444,442206172,624270871,427134950,435496802,564274389,430072551,428851354,355220260,446590713,388876372,473956837,452057485,410885681,453712249,365433233,430706037,414055175,393158944,404046186,396101138,381703852,449948693,456289639,464368779,469124759,534963621,492337580,453980942,434670165,483369820,636519824,614891802,800892088,829754828,736653525,722738210,801663924,891233035,841209522,787166275,795718891,815488560,685418040,752351739,792749901,850735666,836119499,947539640,913538857,831895655,990361015,860012448,816696612,679645570,586364557,698437946,855276064,902153447,921756300,983673331,837133113,1011813035,986591971,1029045783,977998803,680741865,705211591,760297307,826385525,885407086,1009838518,1034173247,833717007,88787410820
Asia,SECCION XVII Material de Transporte.,1347797,1652359,1605293,1579670,2193080,1827605,2231623,2147268,1304167,2576698,3261695,2650235,2284595,2701029,1930525,2704729,1722262,2050531,2508332,1935975,1585332,3022670,2360337,1824704,2720083,1741167,2968910,11567641,10975158,10047695,10587646,11643392,3234396,22692375,19626739,21066781,9908748,10433344,9665445,17213826,10360354,12904585,19579118,2872009,9548925,13948286,16974369,18044004,12624693,13047413,12982120,21811529,30233767,11537171,3947814,19817166,5384186,24903861,28332786,26067365,20592401,18182177,17942707,31814808,19085393,21643621,22216096,18414262,13564343,29105933,26393972,24785158,25786808,19391118,22885867,23302105,20927260,29533333,22430096,16477982,7055275,25584892,60524067,40823868,49106626,32296636,40069796,33520125,57680393,60878119,29887926,37535250,11252434,26739281,22539974,14225243,19103743,14734585,16371855,27924547,16812380,13907977,16224076,8498014,14204736,13523883,7112932,9571294,3772307,3859638,2556025,5665465,5933333,5854207,5314039,4907056,5469455,10165038,8523205,7123468,7574036,6293086,8283570,8800011,9655552,9646720,9647690,11166349,14076441,10413190,10147987,13855374,13199781,29480710,15793487,14060797,17390806,14120526,10314165,20706822,23255102,17568084,20913674,17771965,14931225,15887329,14926519,13361124,18868654,15307550,36288712,16342521,16962169,29303516,22255614,14926792,17573632,24816412,19443757,25048971,17808980,24631656,27837587,26470195,17103912,26237487,31280030,19258329,15624314,12945486,11630547,14084705,42506882,17514475,30702008,20743985,32262226,20388941,46415743,27528214,46346158,11180583,11887841,25763166,18365530,20505894,30259854,31403534,33472418,43400824,28614305,29252659,30117284,29375557,32619331,23366663,24599221,40896893,37827390,42353125,43887215,47232859,35092215,47314072,45590893,30835815,35717058,35413059,46355615,43084485,49449748,3968289133
