,proporciones_mensuales
0,0.07688613181147416
1,0.0738508788944716
2,0.08188248752593313
3,0.07994044124684781
4,0.0841001152213075
5,0.08248230746202799
6,0.08420577509035619
7,0.08814838041243434
8,0.08303257081968632
9,0.09042804548416843
10,0.08865560496147472
11,0.08638726106981785
