,Pais_vendedor,industria,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
26,Oceanía,Agricultura y Silvicultura,21047160.0,0.0,4187335.0,0.0,2649939.0,2756042.0,12353204.0,14882958.0,30277721.0,9295770.0,15811713.0,44.0,26707238.0,32704000.0,17022869.0,8341792.0,164.0,16346104.0
27,Oceanía,Servicios y Productos no Clasificados,32058.0,492.0,543.0,2004.0,47.0,500.0,103.0,97893.0,2028006.0,32047389.0,17024677.0,6394290.0,921094.0,97800.0,65677.0,201739.0,377518.0,222049.0
28,Oceanía,"Ganadería, Apicultura, Caza, Pesca",0.0,0.0,0.0,0.0,0.0,0.0,1959550.0,2735970.0,988003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Oceanía,( Blank ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,40492634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,América del Norte,Industrias Manufactureras,11951911374.0,11708110870.0,8631881788.0,9204215997.0,12512399023.0,12652159903.0,14602540065.0,17638349915.0,20564296178.0,14792902303.0,18958017164.0,24496179797.0,24836901846.0,25757518196.0,25626108680.0,24350499453.0,24973372776.0,15762815899.0
31,América del Norte,Industrias Extractivas,23813635.0,23415493.0,19052960.0,25892714.0,12649316.0,31990278.0,35946846.0,44186581.0,28058089.0,19270153.0,24405503.0,37855802.0,69469217.0,47390448.0,175791992.0,96535981.0,64608027.0,20950405.0
32,América del Norte,Agricultura y Silvicultura,300565575.0,372195095.0,373458390.0,410608995.0,321598308.0,507080198.0,531613075.0,1046761775.0,1586898021.0,1166110645.0,1460870394.0,1917073564.0,1833654888.0,1465038991.0,602158821.0,578263264.0,639625359.0,523552001.0
33,América del Norte,Servicios y Productos no Clasificados,181854664.0,32313919.0,4237185.0,7546221.0,34457222.0,66547828.0,15749079.0,59816550.0,132741407.0,126887868.0,161363858.0,249060763.0,402951585.0,424022611.0,303086216.0,418838273.0,436630652.0,282028111.0
34,América del Norte,"Ganadería, Apicultura, Caza, Pesca",3037184.0,4386453.0,4089706.0,5101678.0,304329.0,3125765.0,2978597.0,2635311.0,4268331.0,7346219.0,10416135.0,6336941.0,2816172.0,5257927.0,8250.0,12932.0,350731.0,112746.0
35,América del Norte,( Blank ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1592409045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,otro,Industrias Manufactureras,4652840.0,6918066.0,1865547.0,4440748.0,27238.0,121497.0,67986.0,327944.0,819895.0,37374.0,255482.0,721615.0,46486.0,61679.0,10219.0,67579.0,18006.0,3313.0
37,otro,Industrias Extractivas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,otro,Agricultura y Silvicultura,66191.0,27859.0,40568.0,188332.0,0.0,0.0,0.0,0.0,0.0,0.0,86391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,otro,Servicios y Productos no Clasificados,0.0,0.0,57.0,5.0,0.0,0.0,0.0,0.0,2659805.0,0.0,2340713.0,2465802.0,0.0,3351406.0,125.0,2294.0,327.0,50.0
40,otro,"Ganadería, Apicultura, Caza, Pesca",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,otro,( Blank ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
